image_name,comment_number,comment
3647446816.jpg,0,Two girls play softball  one slides into plate as other fails to catch ball .
3647446816.jpg,1,Two girls are playing softball and one is sliding to the home plate .
3647446816.jpg,2,A runner is safe at home plate at a youth softball game .
3647446816.jpg,3,A girl playing softball slides into home plate
3647446816.jpg,4,A girl slides in for a homerun .
459778335.jpg,0,An adult man is throwing a child into the air at a beach while another child watches .
459778335.jpg,1,A father with his two kids at the ocean with the young boy flying up in the air .
459778335.jpg,2,A young boy is thrown by a man as a girl watches at the beach .
459778335.jpg,3,A little boy jumps from his fathers arms on the beach .
459778335.jpg,4,A man tosses a boy into the air at the beach .
126514207.jpg,0,A child is rock climbing while wearing a white safety helmet  white shirt  blue jacket  blue jeans and white sneakers .
126514207.jpg,1,An inflatable rock climbing obstacle is scaled by a person wearing a white helmet .
126514207.jpg,2,A young person with rock climbing gear rock climbing on a artificial rock wall .
126514207.jpg,3,a young child is climbing a rock wall in all his protective gear .
126514207.jpg,4,A kid climbing a wall  wearing a helmet .
489372715.jpg,0,A brown dog with large ears is shaking its self while standing on sand .
489372715.jpg,1,The orange haired dog shook its head while standing on the beach .
489372715.jpg,2,A brown dog is shaking his head while standing on sand .
489372715.jpg,3,An orange dog shakes his head very hard on the sand .
489372715.jpg,4,a tan dog shaking its body
378503271.jpg,0,A blond girl pulls a funny face as she cubes Velveeta cheese and puts it in a bowl .
378503271.jpg,1,a girl makes a face while cutting cheese cubes in her kitchen .
378503271.jpg,2,A lady slicing velveeta cheese  making a funny face .
378503271.jpg,3,The lady is using the knife to cube some cheese .
378503271.jpg,4,Woman is surprised cutting the cheese .
3211577298.jpg,0,An african american man is jumping off a surfboard in a crashing wave in the ocean .
3211577298.jpg,1,A surfer is falling of his surfboard in the middle of a crashing wave .
3211577298.jpg,2,A man is surfing a big wave on a white surfboard .
3211577298.jpg,3,A man surfs over a huge wave in the ocean .
3211577298.jpg,4,A man surfing a crashing wave .
2314492671.jpg,0,Several ladies are sitting together around a table .
2314492671.jpg,1,5 women sitting around a table doing some crafts .
2314492671.jpg,2,The women are drinking wine and knitting .
2314492671.jpg,3,A group of are sitting around drinking .
2314492671.jpg,4,Women gathered around  knitting .
