image_name, comment_number, comment
3647446816.jpg, 0, two girls play softball one slides into plate as other fails to catch ball
3647446816.jpg, 1, two girls are playing softball and one is sliding to the home plate
3647446816.jpg, 2, runner is safe at home plate at youth softball game
3647446816.jpg, 3, girl playing softball slides into home plate
3647446816.jpg, 4, girl slides in for homerun
459778335.jpg, 0, an adult man is throwing child into the air at beach while another child watches
459778335.jpg, 1, father with his two kids at the ocean with the young boy flying up in the air
459778335.jpg, 2, young boy is thrown by man as girl watches at the beach
459778335.jpg, 3, little boy jumps from his fathers arms on the beach
459778335.jpg, 4, man tosses boy into the air at the beach
126514207.jpg, 0, child is rock climbing while wearing white safety helmet white shirt blue jacket blue jeans and white sneakers
126514207.jpg, 1, an inflatable rock climbing obstacle is scaled by person wearing white helmet
126514207.jpg, 2, young person with rock climbing gear rock climbing on artificial rock wall
126514207.jpg, 3, young child is climbing rock wall in all his protective gear
126514207.jpg, 4, kid climbing wall wearing helmet
489372715.jpg, 0, brown dog with large ears is shaking its self while standing on sand
489372715.jpg, 1, the orange haired dog shook its head while standing on the beach
489372715.jpg, 2, brown dog is shaking his head while standing on sand
489372715.jpg, 3, an orange dog shakes his head very hard on the sand
489372715.jpg, 4, tan dog shaking its body
378503271.jpg, 0, blond girl pulls funny face as she cubes velveeta cheese and puts it in bowl
378503271.jpg, 1, girl makes face while cutting cheese cubes in her kitchen
378503271.jpg, 2, lady slicing velveeta cheese making funny face
378503271.jpg, 3, the lady is using the knife to cube some cheese
378503271.jpg, 4, woman is surprised cutting the cheese
3211577298.jpg, 0, an african american man is jumping off surfboard in crashing wave in the ocean
3211577298.jpg, 1, surfer is falling of his surfboard in the middle of crashing wave
3211577298.jpg, 2, man is surfing big wave on white surfboard
3211577298.jpg, 3, man surfs over huge wave in the ocean
3211577298.jpg, 4, man surfing crashing wave
2314492671.jpg, 0, several ladies are sitting together around table
2314492671.jpg, 1, women sitting around table doing some crafts
2314492671.jpg, 2, the women are drinking wine and knitting
2314492671.jpg, 3, group of are sitting around drinking
2314492671.jpg, 4, women gathered around knitting
419965392.jpg, 0, man and two children of asian descent sit outside by giant basket
419965392.jpg, 1, asian man and two children sit outside with large loose woven basket
